Name,total_timelines,total_keys,revisions
Big_Eight_Conference,1,22,69
Atlantic_Hockey,0,19,0
College_Hockey_America,2,17,35
Frontier_Conference,0,15,0
Big_West_Conference,2,20,71
National_Alliance_of_Basketball_Leagues,0,5,0
World_Hockey_Association_(proposed),1,26,16
Little_League_Baseball,3,22,53
Central_Hockey_League,2,10,136
World_Poker_Tour,0,30,0
NBA_G_League,1,23,119
Upper_Midwest_Athletic_Conference,1,18,24
Hockey_Champions_Trophy,1,11,50
Slamball,1,13,322
World_Hockey_Association_2,0,8,0
NCAA_Division_I_men%27s_basketball_tournament,2,24,0
Midwestern_Intercollegiate_Volleyball_Association,2,18,25
American_Basketball_League_(1925%E2%80%931955),0,5,0
NAIA_independent_schools,2,13,38
Deutsche_Eishockey_Liga,2,19,88
America_East_Conference,1,20,49
NCAA_Division_I_women%27s_basketball_tournament,2,22,0
NCAA_Division_II_men%27s_basketball_tournament,2,11,0
NAIA_men%27s_basketball_championship,5,18,0
NAIA_Women%27s_Basketball_Championships,3,17,0
NCAA_Division_III_men%27s_basketball_tournament,1,10,0
NCAA_Division_III_women%27s_basketball_tournament,1,10,0
National_Women%27s_Hockey_League_(1999%E2%80%932007),1,7,0
National_Invitation_Tournament,2,20,85
Independent_Women%27s_Football_League,1,9,0
National_Women%27s_Football_Association,1,7,0
Women%27s_Professional_Football_League,0,6,0
NCAA_men%27s_ice_hockey_championship,1,10,0
Colonial_Athletic_Association,2,21,146
Major_Indoor_Soccer_League_(2001%E2%80%932008),1,8,0
National_League_(ice_hockey),3,20,59
Great_Lakes_Intercollegiate_Athletic_Conference,1,19,38
Pacific_Coast_Hockey_Association,0,9,0
American_Association_(1882%E2%80%931891),0,7,0
American_Association_(1902%E2%80%931997),0,14,0
U_Sports_women%27s_ice_hockey,0,12,0
West_Coast_Conference,2,18,49
NCAA_Rifle_Championship,1,11,21
Eastern_College_Athletic_Conference,2,19,23
ECAC_Hockey,1,19,54
Major_Indoor_Soccer_League_(1978%E2%80%931992),0,9,0
USA_Ultimate,0,5,0
All-American_Girls_Professional_Baseball_League,0,19,0
Liiga,2,28,74
United_Hockey_League,3,12,258
United_States_Hockey_League,2,16,33
West_Coast_Hockey_League,1,13,3
Western_Professional_Hockey_League,0,13,0
Great_West_Conference,1,19,45
Eastern_Hockey_League,0,11,0
X_League_(women%27s_football),5,15,0
Summit_League,2,26,191
Anglo-Welsh_Cup,5,13,196
National_Association_of_Professional_Base_Ball_Players,0,8,0
Union_Association,0,6,0
Players%27_League,0,11,0
Negro_American_League,0,9,0
Eastern_Colored_League,0,8,0
Negro_National_League_(1920%E2%80%931931),0,9,0
Negro_National_League_(1933%E2%80%931948),0,8,0
American_Negro_League,0,8,0
Continental_Football_League,0,10,0
Horizon_League,1,21,28
Missouri_Valley_Conference,1,20,61
Roller_Hockey_International,0,11,0
Professional_Basketball_League_of_America,0,5,0
National_Professional_Basketball_League_(1950%E2%80%9351),0,6,0
Korn_Ferry_Tour,3,25,81
ASUN_Conference,3,21,169
Japanese_Baseball_League,0,26,0
Little_League_World_Series,1,12,81
Super_Cup_(rugby_union),1,11,8
Handball-Bundesliga,1,19,114
Major_League_Volleyball,1,44,3
World_Lacrosse_Championship,1,10,7
IAAF_Golden_League,1,5,31
Men%27s_Oceania_Cup,3,15,0
International_Basketball_Association,0,7,0
NCAA_men%27s_lacrosse_championship,1,7,0
NCAA_Division_II_women%27s_basketball_tournament,1,10,0
Professional_Indoor_Football_League_(1998),0,13,0
Interscholastic_League_of_Honolulu,0,12,0
Heartland_Conference,1,20,15
Indoor_Football_League_(1999%E2%80%932000),1,27,0
Indoor_Professional_Football_League,0,24,0
Intense_Football_League,1,12,24
German_Football_League,2,27,63
PlusLiga,1,22,94
Polish_Women%27s_Volleyball_League,2,20,0
Venezuelan_Summer_League,1,11,39
Polish_Superliga,2,20,346
Polish_Women%27s_Superliga_(women%27s_handball),2,13,0
Spengler_Cup,2,24,40
Commonwealth_Bank_Trophy,1,14,5
Centrobasket,0,24,0
EuroBasket,0,16,0
Amateur_Hockey_Association_of_Canada,0,9,0
PGA_European_Tour,2,26,94
Western_Canada_Hockey_League,0,6,0
Southern_Professional_Hockey_League,4,20,133
IAAF_World_Athletics_Final,1,6,27
Canadian_Amateur_Hockey_League,0,9,0
Philadelphia_Big_5,1,17,33
Canadian_Junior_Football_League,2,15,18
Great_Lakes_Valley_Conference,1,19,250
World%27s_Strongest_Man,1,9,0
Strongman_Super_Series,1,7,29
Men%27s_FIH_Hockey_World_Cup,1,17,0
FIRST_Lego_League_Challenge,4,28,73
Top_14,2,17,91
Top10_(rugby_union),1,28,21
Pacific_West_Conference,1,19,8
F%C3%A9d%C3%A9ration_Internationale_d%27Escrime,1,16,0
Rugby_League_European_Championship,1,23,19
RFL_Championship,2,22,85
Hopman_Cup,5,16,188
Netball_World_Cup,2,28,40
Elite_Ice_Hockey_League,4,20,259
Peach_Belt_Conference,2,17,43
Arnold_Sports_Festival,1,9,12
South_East_Hockey_League,0,8,0
North_American_Hockey_League,0,11,0
BEST_Robotics,0,15,0
Cyberathlete_Professional_League,0,8,0
Billie_Jean_King_Cup,2,14,50
KBO_League,2,25,67
Sunshine_State_Conference,1,19,35
United_Indoor_Football,2,12,78
World_Lacrosse_Women%27s_World_Championship,1,10,0
Cape_Cod_Baseball_League,0,14,0
LKAL,0,5,0
Yankee_Conference,0,10,0
North_Atlantic_Conference,2,18,11
IIHF_World_Women%27s_Championship,1,10,0
Western_Canadian_Baseball_League,1,18,13
DuPage_Valley_Conference,0,8,0
National_Conference_League,1,16,28
European_Poker_Tour,2,15,49
Eastern_Conference_(NBA),1,10,56
Japan_Golf_Tour,1,25,13
Challenge_Tour,1,25,7
PGA_Tour_Canada,2,25,47
NCAA_Bowling_Championship,2,11,77
Asian_Tour,1,25,32
World_TeamTennis,1,22,18
Super_Basketball_League,1,20,2
West_Division_(CFL),0,8,0
Sunshine_Tour,1,26,24
Northwoods_League,1,21,38
Beanpot_(ice_hockey),1,10,73
Rocky_Mountain_Lacrosse_League,0,3,0
FIVB_Volleyball_World_League,1,11,42
NFL_playoffs,3,16,419
Premier_Hockey_League,2,14,79
Northeast_League,1,13,0
National_Women%27s_Basketball_League,2,14,0
Eastern_Collegiate_Hockey_Association,0,15,0
FIVB_Volleyball_World_Grand_Prix,1,11,44
PGA_Tour_of_Australasia,1,24,19
Australian_Professional_Rodeo_Association,0,7,0
Ladies_European_Tour,2,27,14
LPGA_of_Japan_Tour,2,26,12
Swing_Thought_Tour,0,28,0
European_Senior_Tour,1,26,1
Tour_de_las_Am%C3%A9ricas,0,25,0
Rugby_Europe_International_Championships,3,11,323
UCI_ProTour,3,7,256
Ballarat_Football_League,1,44,9
Great_Lakes_Invitational,8,12,126
Golden_Baseball_League,2,12,156
Baseball_World_Cup,1,10,32
Coupe_de_la_Jeunesse,1,7,9
Thomas_Cup,1,12,82
Home_International_Regatta,0,7,0
Welsh_Premier_Division,3,18,52
Cascade_Collegiate_Conference,1,16,13
All-American_Professional_Basketball_League_(2005),1,6,4
National_Basketball_League_(China),1,22,3
Women%27s_Chinese_Basketball_Association,1,38,0
TranSouth_Athletic_Conference,1,15,11
China_Baseball_League,4,21,40
Victorian_Women%27s_Football_League,1,13,0
Intercounty_Baseball_League,0,11,0
Organizaci%C3%B3n_Nacional_Estudiantil_de_F%C3%BAtbol_Americano,1,22,0
South_Division_(AFL),0,7,0
NFC_North,0,9,0
Women%27s_Professional_Rodeo_Association,0,8,0
Eastern_Shore_League,0,37,0
National_Lacrosse_League_(1974%E2%80%9375),0,9,0
FIBA_Basketball_World_Cup,1,20,67
LNB_Pro_A,2,34,143
Skyline_Conference_(1938%E2%80%931962),0,11,0
Crown_Australian_Poker_Championship,0,13,0
Federal_Amateur_Hockey_League,0,9,0
Eastern_Canada_Amateur_Hockey_Association,0,9,0
Western_Hockey_League_(1952%E2%80%931974),0,11,0
Upstate_Eight_Conference,0,9,0
UCI_Women%27s_Road_World_Cup,3,17,0
Centennial_Cup,4,15,105
NFC_South,0,9,0
NFC_West,0,9,0
World_Baseball_Classic,6,18,2479
Sudirman_Cup,1,12,34
Western_League_(1885%E2%80%931899),0,34,0
NCAA_men%27s_volleyball_tournament,1,11,0
California_Collegiate_Athletic_Association,0,18,0
National_Collegiate_Athletic_Association_(Philippines),2,23,51
AFC_East,0,9,0
AFC_North,0,10,0
AFC_West,0,10,0
AFC_South,0,8,0
NFC_East,0,9,0
National_Bank_Cup,2,19,50
Central_Atlantic_Collegiate_Conference,1,17,11
East_Coast_Conference,1,16,14
Northeast-10_Conference,1,18,21
Allegheny_Mountain_Collegiate_Conference,2,19,92
Coast_to_Coast_Athletic_Conference,1,20,81
City_University_of_New_York_Athletic_Conference,0,16,0
Commonwealth_Coast_Conference,2,18,48
Great_Northeast_Athletic_Conference,1,17,2
Great_South_Athletic_Conference,1,15,15
Liberty_League,0,18,0
Little_East_Conference,1,19,3
MAC_Commonwealth_Conference,0,12,0
MAC_Freedom_Conference,0,12,0
Massachusetts_State_Collegiate_Athletic_Conference,1,21,3
New_England_Women%27s_and_Men%27s_Athletic_Conference,2,18,0
Alberta_Football_League,0,35,0
American_Basketball_Association_(2000%E2%80%93present),1,15,0
Leinster_Schools_Rugby_Senior_Cup,0,9,0
Southwest_Conference,1,23,47
New_England_Collegiate_Baseball_League,0,14,0
NAIA_World_Series,0,13,0
UCI_Road_World_Cup,0,13,0
Southern_Association,0,8,0
Tropical_Hockey_League,0,7,0
French_Rugby_League_Championship,0,9,0
Canadian%E2%80%93American_Hockey_League,0,12,0
All-American_Hockey_League,0,10,0
Atlantic_Coast_Hockey_League,0,11,0
Midwest_Collegiate_Conference,2,15,23
Slovak_Extraliga,1,16,17
Professional_Golf_Tour_of_India,2,25,22
Uber_Cup,1,11,27
Las_Vegas_Desert_Classic,4,12,67
NCAA_basketball_championships_(Philippines),0,9,0
NCAA_general_championships,0,7,0
UniSport_Nationals,3,9,88
Asia_League_Ice_Hockey,1,14,23
British_National_League_(1996%E2%80%932005),1,10,0
Australian_Ice_Hockey_League,1,28,41
NCAA_volleyball_championships_(Philippines),1,7,42
Japan_Ice_Hockey_League,0,7,0
World_Scrabble_Championship,1,6,4
Alaska_Baseball_League,0,53,0
Metro_Conference,0,10,0
Eastern_Junior_Hockey_League,1,12,6
Western_Lacrosse_Association,3,17,5
Water_polo_at_the_World_Aquatics_Championships,0,9,0
Saskatchewan_Junior_Hockey_League,0,17,0
Esports_World_Convention,0,37,0
Scottish_National_League_(ice_hockey),1,19,3
Australian_Football_International_Cup,1,12,73
British_Hockey_League,0,9,0
English_Premier_Ice_Hockey_League,3,21,179
Ligue_Nord-Am%C3%A9ricaine_de_Hockey,0,13,0
FA_Women%27s_National_League_South,1,11,0
American_Speed_Association,1,9,16
Texas_Collegiate_League,0,14,0
Great_Midwest_Conference,2,18,26
Illinois%E2%80%93Indiana%E2%80%93Iowa_League,0,37,0
Independent_School_League_(New_England),0,14,0
Ulster_Schools%27_Cup,1,20,0
Canadian%E2%80%93American_League,0,24,0
East_Division_(CFL),0,8,0
First_Federal_Basketball_League,0,23,0
North_American_Hockey_League_(1973%E2%80%931977),0,8,0
Liga_ASOBAL,2,17,99
Western_Carolinas_League,0,11,0
Heartland_League,0,11,0
Japanese_High_School_Baseball_Championship,1,14,23
Japanese_High_School_Baseball_Invitational_Tournament,1,11,9
Women%27s_National_Basketball_League,1,38,0
Colonial_Cup_(rugby_union),1,6,3
Prairie_Hockey_League,0,10,0
