Name,total_timelines,total_keys,revisions
Dolor_Ernesta,0,17,0
Nobuto_Hosaka,3,26,17
Raymond_Wieczorek,3,21,26
Tudor_Pan%C8%9B%C3%AEru,5,19,0
Liberius_(praetorian_prefect),0,21,0
Ryan_Streeter,0,7,0
Richard_A._Falkenrath,0,7,0
Luis_Emilio_Recabarren,0,22,0
Archibald_Currie_(Surinamese_politician),0,10,0
Phillip_Calvert_(governor),0,17,0
John_Smith_Griffin,0,21,0
Burton_A._Dole_Jr.,0,16,0
Andr%C3%A9s_Allamand,6,20,0
Will_Gladstone,0,5,0
B._V._Raghavulu,0,5,0
Jason_Abalos,4,18,195
"John_Brocklehurst,_1st_Baron_Ranksborough",0,26,0
John_R._Hazel,0,48,0
William_George_Beech,0,16,0
Barzillai_J._Chambers,0,8,0
Thomas_R._Cornelius,0,18,0
Zhang_Dingcheng,0,21,0
Olemic_Thommessen,3,23,19
Tokheho_Yepthomi,1,12,17
Petra_Buzkov%C3%A1,1,20,0
Evert_Bancker_(mayor),0,20,0
Elsie_Bowerman,0,8,0
Wang_Quanshu,2,7,0
Yasushi_Furukawa_(governor),2,19,3
Andor_Jaross,0,38,0
Wael_Abbas,0,9,0
Daniel_Dulany_the_Elder,0,18,0
Asif_Mengal,0,4,0
Zden%C4%9Bk_Nejedl%C3%BD,0,17,0
Ram%C3%B3n_Rodr%C3%ADguez_Chac%C3%ADn,3,12,0
Darren_White_(politician),1,13,17
Isaac_W._Taussig,0,18,0
Edward_Lowe_Martin,0,17,0
Marius_Nicoar%C4%83,1,43,0
Maria_Tom%C3%A9,1,7,0
Jeff_Roe,0,10,0
Zhang_Wannian,1,35,27
Florestan_Fernandes,0,26,0
"Jo%C3%A3o_Maur%C3%ADcio_Vanderlei,_Baron_of_Cotegipe",0,25,0
Frederic_Ren%C3%A9_Coudert_Sr.,0,9,0
William_Ketchum_(mayor),1,23,8
Fan_Changlong,5,24,38
Xu_Qiliang,6,25,52
Jos%C3%A9_Maria_Alkmin,0,17,0
Wong_Ting-kwong,1,16,6
Renward_Wells,8,29,62
Matt_Rhoades,0,6,0
Eli_Bremer,3,18,17
"Ant%C3%B4nio_de_Queir%C3%B3s_Teles,_Baron_of_Jundia%C3%AD",0,25,0
Mohammad_Al_Gaz,0,10,0
Karl_Chircop,1,19,20
Mufid_Libohova,1,30,14
Steve_Heminger,4,29,22
Ansley_Constance,0,17,0
Charles_DeCommarmond,0,15,0
Collin_Dyer,0,17,0
Hardy_Lucas,0,17,0
Joseph_Fran%C3%A7ois_(Seychelles_politician),0,17,0
Waven_William,0,15,0
Francisco_Jos%C3%A9_Pinheiro,0,25,0
Alain_Fauconnier,0,24,0
Bruno_Gilles,6,30,8
Lubo%C5%A1_Perek,3,24,0
Dominique_Tian,2,31,10
Georges_Colombier,1,6,3
G%C3%A9rard_Charasse,2,6,0
Laurent_H%C3%A9nart,4,14,0
Louis-Joseph_Manscour,3,6,9
Odile_Saugues,1,6,7
Patrice_Martin-Lalande,1,5,7
Philippe_Houillon,4,5,9
R%C3%A9gis_Juanico,2,15,0
Alexander_Abusch,0,19,0
Rudolf_Katz,0,15,0
Leonid_Yatsenko,4,9,36
Charles_Gray_(Canadian_politician),2,29,5
Thomas_Gilroy_(Canadian_politician),0,22,0
John_Fischer_(politician),1,35,0
Flora_Reid,0,30,0
Per-Ola_Eriksson,1,19,5
Charles_Hawley,0,10,0
Charles_Munn_(politician),0,13,0
Frank_Bogert,1,8,11
Ignacio_Santiago_Sr.,1,19,14
Mike_McWherter,1,10,29
Phyllis_Borzi,2,22,18
Afzal_Bangash,0,24,0
"George_Stanhope,_7th_Earl_of_Chesterfield",0,15,0
Major_Andre_Andrews,1,26,0
Deb_Miller,3,14,25
Sheldon_Thompson,1,26,0
Hiram_Barton,1,26,0
Henry_K._Smith,1,26,0
Eli_Cook,1,26,0
Timothy_T._Lockwood,1,26,0
Chandler_J._Wells,0,18,0
Marcus_M._Drake,1,26,0
John_B._Manning,1,24,0
Charles_F._Bishop,1,26,0
Edgar_B._Jewett,1,25,0
James_N._Adam,0,20,0
Louis_P._Fuhrmann,1,26,0
George_S._Buck,1,26,0
Charles_E._Roesch,1,26,0
George_J._Zimmermann,1,26,0
Thomas_L._Holling,1,26,0
Bernard_J._Dowd,1,25,0
Stanley_Makowski,1,26,0
Farrokh_Khan,0,10,0
Philippe_Lamberts,2,19,14
Tony_Sutton,3,17,56
Spurius_Lucretius_Tricipitinus,0,14,0
Pooja_Pal,5,14,20
K._P._Anbalagan,3,11,30
Abdullahi_Mohammad_Ahmad_Hassan,0,5,0
Giuseppe_Sirtori,0,11,0
Shibu_Baby_John,4,18,34
Mustapha_Khaznadar,0,17,0
Raimo_Vistbacka,2,11,13
Paul_Fletcher_(politician),7,21,136
Alan_Jilka,1,10,7
Kerstin_Kaiser,2,16,5
Joshua_Babcock,0,18,0
Nguy%E1%BB%85n_T%C3%B4n_Ho%C3%A0n,0,7,0
C._R._Ramaswamy,0,5,0
Robert_S._Barnett,1,26,3
Pedro_Lucio_Cuadra,0,5,0
Francisco_Luiz_Sibut_Gomide,0,27,0
Jean-Louis_Fousseret,2,13,8
Terri_L._White,4,20,22
Leonid_Bujor,5,20,37
Valentina_Buliga,5,22,18
Shyam_Sunder_Surolia,0,17,0
Titus_Herminius_Aquilinus,0,13,0
Marcus_Horatius_Pulvillus,0,14,0
Titus_Lucretius_Tricipitinus,0,13,0
Ion_Had%C3%A2rc%C4%83,4,23,0
George_Ross_Kirkpatrick,0,9,0
